"file","line","object","dimension","index","expression"
"customer_engine_v4.R",,"row",1,"1","row[1, , drop = FALSE]"
"customer_engine_v4.R",,"m",1,"1","m[1]"
"customer_engine_v4.R",,"mh",1,"1","mh[1]"
"qa_sample_customers_v4.R",,"u",1,"1","u[1]"
"qa_sample_customers_v4.R",,"u",1,"2","u[2]"
"qa_sample_customers_v4.R",,"u",1,"3","u[3]"
"qa_sample_customers_v4.R",,"u",1,"4","u[4]"
